Year-Month,Rainfall (mm),Flood Risk
2019-06,1097.0,DANGER
2019-07,2061.5,DANGER
2019-08,940.5,DANGER
2019-09,3394.5,DANGER
2019-10,566.0,DANGER
2019-11,128.0,Safe
2019-12,206.5,WARNING
2020-01,13.5,Safe
2020-02,179.5,Safe
2020-03,473.5,DANGER
2020-04,53.5,Safe
2020-05,207.0,WARNING
2020-06,1808.5,DANGER
2020-07,2460.5,DANGER
2020-08,178.0,Safe
2020-09,224.0,WARNING
2020-10,35.5,Safe
2020-11,2.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,6.5,Safe
2021-03,18.0,Safe
2021-04,0.0,Safe
2021-05,1435.0,DANGER
2021-06,5648.5,DANGER
2021-07,1173.5,DANGER
2021-08,709.3,DANGER
2021-09,168.3,Safe
2021-10,64.1,Safe
2021-11,0.0,Safe
2021-12,3.3,Safe
2022-01,11.3,Safe
2022-02,146.8,Safe
2022-03,0.0,Safe
2022-04,0.0,Safe
2022-05,12946.0,DANGER
2022-06,24078.5,DANGER
2022-07,76561.0,DANGER
2022-08,79887.2,DANGER
2022-09,68646.5,DANGER
2022-10,59233.0,DANGER
2022-11,53522.5,DANGER
2022-12,57861.9,DANGER
2023-01,7317.0,DANGER
2023-02,0.0,Safe
2023-03,4.2,Safe
2023-04,444.4,DANGER
2023-05,12.8,Safe
2023-06,70.0,Safe
2023-07,154.6,Safe
2023-08,610.2,DANGER
2023-09,963.6,DANGER
2023-10,213.8,WARNING
2023-11,0.0,Safe
2023-12,9.8,Safe
2024-01,0.0,Safe
2024-02,17.4,Safe
2024-03,26.4,Safe
2024-04,406.5,DANGER
2024-05,13689.9,DANGER
2024-06,18593.5,DANGER
2024-07,33969.5,DANGER
2024-08,20485.7,DANGER
2024-09,2308.9,DANGER
2024-10,28796.9,DANGER
2024-11,16826.0,DANGER
2024-12,72270.5,DANGER
2025-01,70308.5,DANGER
