Year-Month,Rainfall (mm),Flood Risk
1981-06,241.79999999999998,WARNING
1981-07,754.2,DANGER
1981-08,627.0,DANGER
1981-09,257.8,WARNING
1981-10,0.0,Safe
1982-06,226.9,WARNING
1982-07,985.3,DANGER
1982-08,67.0,Safe
1982-09,460.3,DANGER
1982-10,0.0,Safe
1983-06,191.6,Safe
1983-07,792.7,DANGER
1983-08,17.2,Safe
1991-06,285.5,WARNING
1991-07,675.6,DANGER
1991-08,406.0,DANGER
1991-09,643.0,DANGER
1991-10,5.6,Safe
1992-06,236.3,WARNING
1992-07,441.0,DANGER
1992-08,389.3,DANGER
1992-09,128.0,Safe
1992-10,136.8,Safe
1993-06,224.4,WARNING
1993-07,613.4,DANGER
1993-08,618.8,DANGER
1993-09,317.4,DANGER
1993-10,55.2,Safe
1994-06,111.6,Safe
1994-07,223.4,WARNING
1994-08,379.1,DANGER
1994-09,270.2,WARNING
1994-10,1.4,Safe
1995-06,455.79999999999995,DANGER
1995-07,693.9,DANGER
1995-08,475.0,DANGER
1995-09,554.6,DANGER
1995-10,17.0,Safe
1996-06,147.8,Safe
1996-07,1116.8,DANGER
1996-08,584.6,DANGER
1996-09,278.0,WARNING
1996-10,52.800000000000004,Safe
1997-06,313.8,DANGER
1997-07,677.4,DANGER
1997-08,337.2,DANGER
1997-09,313.4,DANGER
1997-10,7.2,Safe
1998-06,432.4,DANGER
1998-07,1221.0,DANGER
1998-08,1282.4,DANGER
1998-09,790.6,DANGER
1998-10,48.2,Safe
1999-06,331.2,DANGER
1999-07,680.0,DANGER
1999-08,778.0,DANGER
1999-09,407.2,DANGER
1999-10,0.0,Safe
2000-06,470.2,DANGER
2000-07,415.8,DANGER
2000-08,417.6,DANGER
2000-09,79.8,Safe
2001-01,2.8,Safe
2001-02,0.0,Safe
2001-03,0.0,Safe
2001-04,47.6,Safe
2001-05,367.8,DANGER
2001-06,313.0,DANGER
2001-07,304.8,DANGER
2001-08,549.0,DANGER
2001-09,688.8,DANGER
2001-10,254.8,WARNING
2001-11,30.6,Safe
2001-12,0.0,Safe
2002-01,66.2,Safe
2002-02,0.0,Safe
2002-03,24.6,Safe
2002-04,165.4,Safe
2002-05,189.4,Safe
2002-06,371.8,DANGER
2002-07,939.8,DANGER
2002-08,347.4,DANGER
2002-09,247.8,WARNING
2002-10,88.4,Safe
2002-11,0.0,Safe
2002-12,0.0,Safe
2003-01,15.0,Safe
2003-02,24.4,Safe
2003-03,115.2,Safe
2003-04,121.6,Safe
2003-05,154.4,Safe
2003-06,665.4,DANGER
2003-07,919.4,DANGER
2003-08,469.2,DANGER
2003-09,853.4,DANGER
2003-10,315.2,DANGER
2003-11,0.0,Safe
2003-12,31.400000000000002,Safe
2004-01,26.599999999999998,Safe
2004-02,0.0,Safe
2004-03,5.0,Safe
2004-04,166.8,Safe
2004-05,128.4,Safe
2004-06,274.8,WARNING
2004-07,894.8,DANGER
2004-08,246.6,WARNING
2004-09,334.8,DANGER
2004-10,136.8,Safe
2004-11,0.0,Safe
2004-12,0.0,Safe
2005-01,18.4,Safe
2005-02,0.0,Safe
2005-03,25.0,Safe
2005-04,56.7,Safe
2005-05,0.0,Safe
2005-06,504.59999999999997,DANGER
2005-07,355.8,DANGER
2005-08,784.0,DANGER
2005-09,140.4,Safe
2005-10,254.00000000000003,WARNING
2005-11,0.0,Safe
2005-12,0.0,Safe
2006-04,46.400000000000006,Safe
2006-06,361.0,DANGER
2006-07,471.6,DANGER
2006-08,158.79999999999998,Safe
2006-09,304.0,DANGER
2006-10,73.39999999999999,Safe
2007-06,401.5,DANGER
2007-07,555.8,DANGER
2007-08,555.2,DANGER
2007-09,305.4,DANGER
2007-10,14.999999999999998,Safe
2008-01,17.799999999999997,Safe
2008-06,118.8,Safe
2008-07,686.8000000000001,DANGER
2008-08,746.6,DANGER
2008-09,279.6,WARNING
2008-10,57.400000000000006,Safe
2008-11,2.2,Safe
2008-12,0.0,Safe
2009-02,0.0,Safe
2009-03,0.4,Safe
2009-04,36.6,Safe
2009-05,268.0,WARNING
2009-06,186.6,Safe
2009-07,627.0,DANGER
2009-08,497.4,DANGER
2009-09,41.6,Safe
2009-10,250.8,WARNING
2009-12,0.0,Safe
2010-01,0.0,Safe
2010-03,0.0,Safe
2010-04,27.6,Safe
2010-05,432.2,DANGER
2010-06,684.4000000000001,DANGER
2010-07,1138.6,DANGER
2010-08,583.4,DANGER
2010-09,546.6,DANGER
2010-10,36.2,Safe
2010-11,25.0,Safe
2010-12,0.0,Safe
2011-01,6.2,Safe
2011-02,0.0,Safe
2011-03,21.0,Safe
2011-04,108.6,Safe
2011-05,297.6,WARNING
2011-06,152.0,Safe
2011-07,1130.8,DANGER
2011-08,426.2,DANGER
2011-09,740.6,DANGER
2011-10,23.0,Safe
2011-11,63.6,Safe
2011-12,1.4,Safe
2012-01,5.0,Safe
2012-03,12.2,Safe
2012-04,0.0,Safe
2012-05,191.0,Safe
2012-06,528.4,DANGER
2012-07,676.8,DANGER
2012-08,249.4,WARNING
2012-09,676.0,DANGER
2012-10,165.79999999999998,Safe
2012-11,0.0,Safe
2012-12,0.0,Safe
2013-01,6.0,Safe
2013-02,7.4,Safe
2013-03,6.0,Safe
2013-04,84.6,Safe
2013-05,276.0,WARNING
2013-06,280.0,WARNING
2013-07,1118.8,DANGER
2013-08,521.8,DANGER
2013-09,282.0,WARNING
2013-10,127.80000000000001,Safe
2013-11,3.0,Safe
2013-12,0.0,Safe
2014-01,5.2,Safe
2014-02,11.0,Safe
2014-03,2.8,Safe
2014-04,8.4,Safe
2014-05,339.6,DANGER
2014-06,686.8,DANGER
2014-07,413.59999999999997,DANGER
2014-08,847.8,DANGER
2014-09,290.0,WARNING
2014-10,3.2,Safe
2014-11,0.0,Safe
2014-12,21.0,Safe
2015-01,7.0,Safe
2015-02,0.0,Safe
2015-03,0.0,Safe
2015-04,0.0,Safe
2015-05,0.0,Safe
2015-06,298.0,WARNING
2015-07,462.20000000000005,DANGER
2015-08,562.8,DANGER
2015-09,323.8,DANGER
2015-10,6.2,Safe
2015-11,0.0,Safe
2015-12,0.0,Safe
2016-01,12.4,Safe
2016-02,8.2,Safe
2016-03,0.0,Safe
2016-04,19.0,Safe
2016-05,529.8,DANGER
2016-06,694.4,DANGER
2016-07,1368.6,DANGER
2016-08,140.0,Safe
2016-09,601.6,DANGER
2016-10,320.4,DANGER
2016-11,0.0,Safe
2016-12,0.0,Safe
2017-01,0.0,Safe
2017-02,0.0,Safe
2017-03,70.0,Safe
2017-04,23.4,Safe
2017-05,213.6,WARNING
2017-06,268.4,WARNING
2017-07,906.61,DANGER
2017-08,1301.6,DANGER
2017-09,384.0,DANGER
2017-10,162.6,Safe
2017-11,0.0,Safe
2017-12,0.0,Safe
2018-01,0.0,Safe
2018-02,59.0,Safe
2018-03,13.6,Safe
2018-04,115.2,Safe
2018-05,255.0,WARNING
2018-06,336.6,DANGER
2018-07,680.3,DANGER
2018-08,478.0,DANGER
2018-09,281.0,WARNING
2018-10,5.0,Safe
2018-11,0.0,Safe
2018-12,7.6,Safe
2019-01,0.0,Safe
2019-02,13.4,Safe
2019-03,47.8,Safe
2019-04,227.79999999999998,WARNING
2019-05,167.8,Safe
2019-06,635.6,DANGER
2019-07,1521.1,DANGER
2019-08,469.3,DANGER
2019-09,721.7,DANGER
2019-10,351.4,DANGER
2019-11,32.0,Safe
2019-12,1.8,Safe
2020-01,21.8,Safe
2020-02,166.7,Safe
2020-03,317.1,DANGER
2020-04,1498.0,DANGER
2020-05,1567.9,DANGER
2020-06,8999.1,DANGER
2020-07,9445.0,DANGER
2020-08,3959.0,DANGER
2020-09,9916.4,DANGER
2020-10,89.9,Safe
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,20.6,Safe
2021-04,228.6,WARNING
2021-05,2834.3,DANGER
2021-06,3333.8,DANGER
2021-07,3827.3,DANGER
2021-08,2044.2,DANGER
2021-09,516.2,DANGER
2021-10,384.79999999999995,DANGER
2021-11,0.0,Safe
2021-12,3.0,Safe
2022-01,3.0,Safe
2022-02,153.9,Safe
2022-03,12.0,Safe
2022-04,139.4,Safe
2022-05,21591.9,DANGER
2022-06,41623.7,DANGER
2022-07,86447.6,DANGER
2022-08,91097.6,DANGER
2022-09,77328.4,DANGER
2022-10,66781.2,DANGER
2022-11,64091.5,DANGER
2022-12,75928.0,DANGER
2023-01,26829.0,DANGER
2023-02,0.0,Safe
2023-03,1436.0,DANGER
2023-04,1595.9,DANGER
2023-05,322.5,DANGER
2023-06,1249.3,DANGER
2023-07,784.4,DANGER
2023-08,1690.2,DANGER
2023-09,2764.7,DANGER
2023-10,1260.9,DANGER
2023-11,238.0,WARNING
2023-12,0.5,Safe
2024-01,0.0,Safe
2024-02,0.0,Safe
2024-03,73.2,Safe
2024-04,0.0,Safe
2024-05,70.6,Safe
2024-06,476.0,DANGER
2024-07,595.0,DANGER
2024-08,336.6,DANGER
2024-09,698.9,DANGER
2024-10,911.5,DANGER
2024-11,2645.5,DANGER
2024-12,2643.5,DANGER
2025-01,2139.0,DANGER
