Year-Month,Rainfall (mm),Flood Risk,Sub_District
2018-07,91.3,Safe,Bishunpur
2018-08,152.2,Safe,Bishunpur
2018-09,71.0,Safe,Bishunpur
2018-10,0.0,Safe,Bishunpur
2018-11,0.0,Safe,Bishunpur
2018-12,0.0,Safe,Bishunpur
2019-01,0.0,Safe,Bishunpur
2019-02,5.4,Safe,Bishunpur
2019-03,0.0,Safe,Bishunpur
2019-04,2.8,Safe,Bishunpur
2019-05,4.0,Safe,Bishunpur
2019-06,1418.4,DANGER,Bishunpur
2019-07,6527.6,DANGER,Bishunpur
2019-08,1575.3,DANGER,Bishunpur
2019-09,7007.6,DANGER,Bishunpur
2019-10,544.0,DANGER,Bishunpur
2019-11,0.0,Safe,Bishunpur
2019-12,164.5,Safe,Bishunpur
2020-01,48.1,Safe,Bishunpur
2020-02,154.5,Safe,Bishunpur
2020-03,345.8,DANGER,Bishunpur
2020-04,1018.3,DANGER,Bishunpur
2020-05,1183.6,DANGER,Bishunpur
2020-06,4336.1,DANGER,Bishunpur
2020-07,5841.3,DANGER,Bishunpur
2020-08,1784.3,DANGER,Bishunpur
2020-09,1296.1,DANGER,Bishunpur
2020-10,84.0,Safe,Bishunpur
2020-11,0.0,Safe,Bishunpur
2020-12,0.0,Safe,Bishunpur
2021-01,0.0,Safe,Bishunpur
2021-02,0.0,Safe,Bishunpur
2021-03,4.5,Safe,Bishunpur
2021-04,15.8,Safe,Bishunpur
2021-05,8199.1,DANGER,Bishunpur
2021-06,1038.4,DANGER,Bishunpur
2021-07,296.4,WARNING,Bishunpur
2021-08,539.5,DANGER,Bishunpur
2021-09,326.1,DANGER,Bishunpur
2021-10,299.8,WARNING,Bishunpur
2021-11,0.0,Safe,Bishunpur
2021-12,8.2,Safe,Bishunpur
2022-01,4.2,Safe,Bishunpur
2022-02,27.4,Safe,Bishunpur
2022-03,0.0,Safe,Bishunpur
2022-04,0.0,Safe,Bishunpur
2022-05,17359.0,DANGER,Bishunpur
2022-06,28951.1,DANGER,Bishunpur
2022-07,72982.9,DANGER,Bishunpur
2022-08,84942.8,DANGER,Bishunpur
2022-09,44599.1,DANGER,Bishunpur
2022-10,18966.0,DANGER,Bishunpur
2022-11,3212.5,DANGER,Bishunpur
2022-12,2430.5,DANGER,Bishunpur
2023-01,285.5,WARNING,Bishunpur
2023-02,0.0,Safe,Bishunpur
2023-03,1237.5,DANGER,Bishunpur
2023-04,0.0,Safe,Bishunpur
2023-08,1919.5,DANGER,Bishunpur
2023-09,1134.0,DANGER,Bishunpur
2023-10,12301.5,DANGER,Bishunpur
2023-11,26975.5,DANGER,Bishunpur
2023-12,28882.0,DANGER,Bishunpur
2024-01,11024.5,DANGER,Bishunpur
2024-03,0.0,Safe,Bishunpur
2024-04,0.0,Safe,Bishunpur
2024-05,62.0,Safe,Bishunpur
2024-06,217.0,WARNING,Bishunpur
2024-07,176.9,Safe,Bishunpur
2024-08,481.3,DANGER,Bishunpur
2024-09,187.6,Safe,Bishunpur
2024-10,0.0,Safe,Bishunpur
2024-11,0.0,Safe,Bishunpur
2024-12,0.0,Safe,Bishunpur
2025-01,0.0,Safe,Bishunpur
1987-06,0.0,Safe,Ekmighat
1991-04,0.0,Safe,Ekmighat
2009-09,0.0,Safe,Ekmighat
2010-06,0.0,Safe,Ekmighat
2010-07,0.0,Safe,Ekmighat
2010-08,0.0,Safe,Ekmighat
2010-09,0.0,Safe,Ekmighat
2010-10,0.0,Safe,Ekmighat
2011-06,0.0,Safe,Ekmighat
2011-07,0.0,Safe,Ekmighat
2011-08,0.0,Safe,Ekmighat
2011-09,0.0,Safe,Ekmighat
2011-10,0.0,Safe,Ekmighat
2012-01,0.0,Safe,Ekmighat
2012-06,0.0,Safe,Ekmighat
2012-07,0.0,Safe,Ekmighat
2012-08,31.8,Safe,Ekmighat
