Year-Month,Rainfall (mm),Flood Risk,Sub_District
2000-08,101.8,Safe,Khagaria
2000-09,604.7,DANGER,Khagaria
2000-10,5.9,Safe,Khagaria
2000-11,0.0,Safe,Khagaria
2000-12,0.0,Safe,Khagaria
2001-01,7.199999999999999,Safe,Khagaria
2001-02,2.0,Safe,Khagaria
2001-03,5.4,Safe,Khagaria
2001-04,45.0,Safe,Khagaria
2001-05,173.6,Safe,Khagaria
2001-06,233.7,WARNING,Khagaria
2001-07,299.6,WARNING,Khagaria
2001-08,226.2,WARNING,Khagaria
2001-09,262.3,WARNING,Khagaria
2001-10,135.9,Safe,Khagaria
2001-12,0.0,Safe,Khagaria
2002-01,46.4,Safe,Khagaria
2002-02,10.0,Safe,Khagaria
2002-03,9.2,Safe,Khagaria
2002-04,51.8,Safe,Khagaria
2002-05,161.7,Safe,Khagaria
2002-06,134.8,Safe,Khagaria
2002-07,225.8,WARNING,Khagaria
2002-08,229.0,WARNING,Khagaria
2002-09,255.9,WARNING,Khagaria
2002-10,13.8,Safe,Khagaria
2002-11,0.0,Safe,Khagaria
2002-12,0.0,Safe,Khagaria
2003-01,59.6,Safe,Khagaria
2003-02,75.2,Safe,Khagaria
2003-03,2.8,Safe,Khagaria
2003-04,18.4,Safe,Khagaria
2003-05,68.6,Safe,Khagaria
2003-06,365.0,DANGER,Khagaria
2003-07,236.3,WARNING,Khagaria
2003-08,178.6,Safe,Khagaria
2003-09,215.4,WARNING,Khagaria
2003-10,221.6,WARNING,Khagaria
2003-11,0.0,Safe,Khagaria
2003-12,6.1,Safe,Khagaria
2004-01,16.6,Safe,Khagaria
2004-02,3.0,Safe,Khagaria
2004-03,0.0,Safe,Khagaria
2004-04,50.2,Safe,Khagaria
2004-05,64.6,Safe,Khagaria
2004-06,164.8,Safe,Khagaria
2004-07,385.7000000000001,DANGER,Khagaria
2004-08,142.9,Safe,Khagaria
2004-09,64.8,Safe,Khagaria
2004-10,49.8,Safe,Khagaria
2004-11,0.0,Safe,Khagaria
2004-12,0.0,Safe,Khagaria
2005-01,17.1,Safe,Khagaria
2005-02,8.8,Safe,Khagaria
2005-03,9.4,Safe,Khagaria
2005-04,0.0,Safe,Khagaria
2005-05,19.9,Safe,Khagaria
2005-06,43.8,Safe,Khagaria
2005-07,298.0,WARNING,Khagaria
2005-08,180.3,Safe,Khagaria
2005-09,163.4,Safe,Khagaria
2005-10,9.0,Safe,Khagaria
2005-11,0.0,Safe,Khagaria
2005-12,0.0,Safe,Khagaria
2006-01,0.0,Safe,Khagaria
2006-02,0.0,Safe,Khagaria
2006-03,10.2,Safe,Khagaria
2006-04,20.0,Safe,Khagaria
2006-05,75.19999999999999,Safe,Khagaria
2006-06,160.6,Safe,Khagaria
2006-07,264.7,WARNING,Khagaria
2006-08,143.3,Safe,Khagaria
2006-09,284.0,WARNING,Khagaria
2006-10,30.8,Safe,Khagaria
2006-11,30.1,Safe,Khagaria
2006-12,3.8,Safe,Khagaria
2007-01,0.0,Safe,Khagaria
2007-02,18.0,Safe,Khagaria
2007-03,36.0,Safe,Khagaria
2007-04,4.2,Safe,Khagaria
2007-05,124.2,Safe,Khagaria
2007-06,152.6,Safe,Khagaria
2007-07,657.9000000000001,DANGER,Khagaria
2007-08,169.6,Safe,Khagaria
2007-09,309.9,DANGER,Khagaria
2007-10,55.2,Safe,Khagaria
2007-11,0.0,Safe,Khagaria
2007-12,0.0,Safe,Khagaria
2008-01,68.2,Safe,Khagaria
2008-02,5.6000000000000005,Safe,Khagaria
2008-03,0.0,Safe,Khagaria
2008-04,22.4,Safe,Khagaria
2008-05,68.6,Safe,Khagaria
2008-06,457.1,DANGER,Khagaria
2008-07,514.4,DANGER,Khagaria
2008-08,497.7,DANGER,Khagaria
2008-09,122.8,Safe,Khagaria
2008-10,133.20000000000002,Safe,Khagaria
2008-11,0.0,Safe,Khagaria
2008-12,0.0,Safe,Khagaria
2009-01,0.0,Safe,Khagaria
2009-02,10.6,Safe,Khagaria
2009-03,3.0,Safe,Khagaria
2009-04,0.0,Safe,Khagaria
2009-05,284.3,WARNING,Khagaria
2009-06,74.6,Safe,Khagaria
2009-07,195.8,Safe,Khagaria
2009-08,240.8,WARNING,Khagaria
2009-09,109.8,Safe,Khagaria
2009-10,129.2,Safe,Khagaria
2009-11,5.6000000000000005,Safe,Khagaria
2009-12,0.0,Safe,Khagaria
2010-01,2.2,Safe,Khagaria
2010-02,2.4,Safe,Khagaria
2010-03,0.0,Safe,Khagaria
2010-04,36.6,Safe,Khagaria
2010-05,121.2,Safe,Khagaria
2010-06,127.2,Safe,Khagaria
2010-07,199.1,Safe,Khagaria
2010-08,128.8,Safe,Khagaria
2010-09,234.9,WARNING,Khagaria
2010-10,27.2,Safe,Khagaria
2010-11,0.0,Safe,Khagaria
2010-12,0.0,Safe,Khagaria
2011-01,0.0,Safe,Khagaria
2011-02,4.2,Safe,Khagaria
2011-03,12.3,Safe,Khagaria
2011-04,7.3,Safe,Khagaria
2011-05,105.0,Safe,Khagaria
2011-06,324.6,DANGER,Khagaria
2011-07,246.7,WARNING,Khagaria
2011-08,320.3,DANGER,Khagaria
2011-09,106.0,Safe,Khagaria
2011-10,25.2,Safe,Khagaria
2011-11,0.0,Safe,Khagaria
2011-12,0.0,Safe,Khagaria
2012-01,26.0,Safe,Khagaria
2012-02,0.0,Safe,Khagaria
2012-03,7.0,Safe,Khagaria
2012-04,11.6,Safe,Khagaria
2012-05,39.6,Safe,Khagaria
2012-06,66.30000000000001,Safe,Khagaria
2012-07,217.5,WARNING,Khagaria
2012-08,325.1,DANGER,Khagaria
2012-09,361.8,DANGER,Khagaria
2012-10,92.4,Safe,Khagaria
2012-11,3.2,Safe,Khagaria
2012-12,0.0,Safe,Khagaria
2013-01,0.0,Safe,Khagaria
2013-02,14.1,Safe,Khagaria
2013-03,0.0,Safe,Khagaria
2013-04,55.8,Safe,Khagaria
2013-05,91.7,Safe,Khagaria
2013-06,186.9,Safe,Khagaria
2013-07,169.6,Safe,Khagaria
2013-08,132.4,Safe,Khagaria
2013-09,199.5,Safe,Khagaria
2013-10,155.79999999999998,Safe,Khagaria
2013-11,19.8,Safe,Khagaria
2013-12,0.0,Safe,Khagaria
2014-01,12.0,Safe,Khagaria
2014-02,13.1,Safe,Khagaria
2014-03,10.2,Safe,Khagaria
2014-04,0.0,Safe,Khagaria
2014-05,222.0,WARNING,Khagaria
2014-06,92.8,Safe,Khagaria
2014-07,569.4,DANGER,Khagaria
2014-08,266.5,WARNING,Khagaria
2014-09,171.6,Safe,Khagaria
2014-10,29.9,Safe,Khagaria
2014-11,0.0,Safe,Khagaria
2014-12,0.0,Safe,Khagaria
2015-01,19.0,Safe,Khagaria
2015-02,4.2,Safe,Khagaria
2015-03,12.3,Safe,Khagaria
2015-04,153.4,Safe,Khagaria
2015-05,18.4,Safe,Khagaria
2015-06,153.39999999999998,Safe,Khagaria
2015-07,158.6,Safe,Khagaria
2015-08,458.1,DANGER,Khagaria
2015-09,250.8,WARNING,Khagaria
2015-10,11.2,Safe,Khagaria
2015-11,0.0,Safe,Khagaria
2015-12,0.0,Safe,Khagaria
2016-01,8.8,Safe,Khagaria
2016-02,9.2,Safe,Khagaria
2016-03,0.0,Safe,Khagaria
2016-04,26.4,Safe,Khagaria
2016-05,45.6,Safe,Khagaria
2016-06,60.0,Safe,Khagaria
2016-07,323.5,DANGER,Khagaria
2016-08,183.2,Safe,Khagaria
2016-09,319.8,DANGER,Khagaria
2016-10,24.8,Safe,Khagaria
2016-11,0.0,Safe,Khagaria
2016-12,0.0,Safe,Khagaria
2017-01,0.0,Safe,Khagaria
2017-02,0.0,Safe,Khagaria
2017-03,9.6,Safe,Khagaria
2017-04,41.4,Safe,Khagaria
2017-05,34.6,Safe,Khagaria
2017-06,124.0,Safe,Khagaria
2017-07,435.6,DANGER,Khagaria
2017-08,301.4,DANGER,Khagaria
2017-09,112.8,Safe,Khagaria
2017-10,53.4,Safe,Khagaria
2017-11,0.0,Safe,Khagaria
2017-12,0.0,Safe,Khagaria
2018-01,0.0,Safe,Khagaria
2018-02,0.0,Safe,Khagaria
2018-03,0.0,Safe,Khagaria
2018-04,72.4,Safe,Khagaria
2018-05,22.6,Safe,Khagaria
2018-06,20.0,Safe,Khagaria
2018-07,192.6,Safe,Khagaria
2018-08,223.4,WARNING,Khagaria
2018-09,102.6,Safe,Khagaria
2018-10,327.6,DANGER,Khagaria
2018-11,0.0,Safe,Khagaria
2018-12,8.4,Safe,Khagaria
2019-01,4.38,Safe,Khagaria
2019-02,241.0,WARNING,Khagaria
2019-03,24.0,Safe,Khagaria
2019-04,83.2,Safe,Khagaria
2019-05,22.2,Safe,Khagaria
2019-06,44.6,Safe,Khagaria
2019-07,319.6,DANGER,Khagaria
2019-08,81.6,Safe,Khagaria
2019-09,429.4,DANGER,Khagaria
2019-10,240.0,WARNING,Khagaria
2019-11,53.0,Safe,Khagaria
2019-12,12.8,Safe,Khagaria
2020-01,889.1,DANGER,Khagaria
2020-02,9.1,Safe,Khagaria
2020-03,20.4,Safe,Khagaria
2020-04,0.0,Safe,Khagaria
2020-05,71.0,Safe,Khagaria
2020-06,310.3,DANGER,Khagaria
2020-07,1587.7,DANGER,Khagaria
2020-08,101.0,Safe,Khagaria
2020-09,406.9,DANGER,Khagaria
2020-10,31.2,Safe,Khagaria
2020-11,0.0,Safe,Khagaria
2020-12,0.0,Safe,Khagaria
2021-01,0.0,Safe,Khagaria
2021-02,0.0,Safe,Khagaria
2021-03,24.0,Safe,Khagaria
2021-04,0.0,Safe,Khagaria
2021-05,246.0,WARNING,Khagaria
2021-06,386.6,DANGER,Khagaria
2021-07,142.39999999999998,Safe,Khagaria
2021-08,270.2,WARNING,Khagaria
2021-09,95.2,Safe,Khagaria
2021-10,270.2,WARNING,Khagaria
2021-11,0.0,Safe,Khagaria
2021-12,2.4,Safe,Khagaria
2022-01,22.2,Safe,Khagaria
2022-02,50.6,Safe,Khagaria
2022-03,0.0,Safe,Khagaria
2022-04,14.0,Safe,Khagaria
2022-05,18247.0,DANGER,Khagaria
2022-06,133.4,Safe,Khagaria
2022-07,154.4,Safe,Khagaria
2022-08,15627.0,DANGER,Khagaria
2022-09,49992.8,DANGER,Khagaria
2022-10,68070.5,DANGER,Khagaria
2022-11,45663.5,DANGER,Khagaria
2022-12,60839.5,DANGER,Khagaria
2023-01,6097.5,DANGER,Khagaria
2023-02,0.0,Safe,Khagaria
2023-03,1355.0,DANGER,Khagaria
2023-04,1901.4,DANGER,Khagaria
2023-05,20.0,Safe,Khagaria
2023-06,116.0,Safe,Khagaria
2023-07,122.3,Safe,Khagaria
2023-08,447.9,DANGER,Khagaria
2023-09,339.5,DANGER,Khagaria
2023-10,86.8,Safe,Khagaria
2023-11,0.0,Safe,Khagaria
2023-12,9.0,Safe,Khagaria
2024-01,0.0,Safe,Khagaria
2024-02,6.4,Safe,Khagaria
2024-03,70.2,Safe,Khagaria
2024-04,0.0,Safe,Khagaria
2024-05,8044.3,DANGER,Khagaria
2024-06,25158.4,DANGER,Khagaria
2024-07,20488.1,DANGER,Khagaria
2024-08,18621.6,DANGER,Khagaria
2024-09,2284.0,DANGER,Khagaria
2024-10,30281.1,DANGER,Khagaria
2024-11,2732.5,DANGER,Khagaria
2024-12,542.0,DANGER,Khagaria
2025-01,0.0,Safe,Khagaria
1981-06,70.0,Safe,Baltara
1981-07,956.8,DANGER,Baltara
1981-08,641.1999999999999,DANGER,Baltara
1981-09,174.0,Safe,Baltara
1981-10,0.0,Safe,Baltara
1982-06,0.0,Safe,Baltara
1982-07,304.72,DANGER,Baltara
1982-08,340.4,DANGER,Baltara
1982-09,194.8,Safe,Baltara
1982-10,28.8,Safe,Baltara
1983-06,339.6,DANGER,Baltara
1983-07,390.8,DANGER,Baltara
1983-08,288.4,WARNING,Baltara
1983-09,573.6,DANGER,Baltara
1983-10,266.40000000000003,WARNING,Baltara
1984-06,646.4,DANGER,Baltara
1984-07,872.0,DANGER,Baltara
1984-08,266.0,WARNING,Baltara
1984-09,509.2,DANGER,Baltara
1984-10,16.8,Safe,Baltara
1985-06,334.0,DANGER,Baltara
1985-07,570.0,DANGER,Baltara
1985-08,630.4,DANGER,Baltara
1985-09,363.8,DANGER,Baltara
1985-10,470.8,DANGER,Baltara
1985-12,0.0,Safe,Baltara
1986-06,134.8,Safe,Baltara
1986-07,934.0,DANGER,Baltara
1986-08,478.0,DANGER,Baltara
1986-09,628.0,DANGER,Baltara
1986-10,226.4,WARNING,Baltara
1987-06,248.4,WARNING,Baltara
1987-07,555.2,DANGER,Baltara
1987-08,1158.4,DANGER,Baltara
1987-09,388.4,DANGER,Baltara
1987-10,6.0,Safe,Baltara
1988-06,204.0,WARNING,Baltara
1988-07,463.6,DANGER,Baltara
1988-08,582.6,DANGER,Baltara
1988-09,166.0,Safe,Baltara
1988-10,60.400000000000006,Safe,Baltara
1989-06,405.6,DANGER,Baltara
1989-07,859.8,DANGER,Baltara
1989-08,451.6,DANGER,Baltara
1989-09,460.4,DANGER,Baltara
1989-10,68.4,Safe,Baltara
1990-06,320.4,DANGER,Baltara
1990-07,964.2,DANGER,Baltara
1990-08,235.8,WARNING,Baltara
1990-09,193.0,Safe,Baltara
1990-10,302.4,DANGER,Baltara
1991-06,97.8,Safe,Baltara
1991-07,379.8,DANGER,Baltara
1991-08,504.0,DANGER,Baltara
1991-09,401.6,DANGER,Baltara
1991-10,0.0,Safe,Baltara
1992-06,99.2,Safe,Baltara
1992-07,478.0,DANGER,Baltara
1992-08,702.8000000000001,DANGER,Baltara
1992-09,180.0,Safe,Baltara
1992-10,52.4,Safe,Baltara
1993-06,424.4,DANGER,Baltara
1993-07,486.6,DANGER,Baltara
1993-08,556.6,DANGER,Baltara
1993-09,655.8,DANGER,Baltara
1993-10,18.4,Safe,Baltara
1994-06,176.39999999999998,Safe,Baltara
1994-07,230.0,WARNING,Baltara
1994-08,563.6,DANGER,Baltara
1994-09,420.2,DANGER,Baltara
1995-06,190.8,Safe,Baltara
1995-07,184.4,Safe,Baltara
1995-08,1046.6,DANGER,Baltara
1995-09,784.8000000000001,DANGER,Baltara
1995-10,0.0,Safe,Baltara
1996-06,205.2,WARNING,Baltara
1996-07,785.6,DANGER,Baltara
1996-08,527.0,DANGER,Baltara
1996-09,516.8,DANGER,Baltara
1996-10,124.4,Safe,Baltara
1997-06,230.4,WARNING,Baltara
1997-07,862.4,DANGER,Baltara
1997-08,515.6,DANGER,Baltara
1997-09,268.0,WARNING,Baltara
1997-10,25.2,Safe,Baltara
1997-11,6.2,Safe,Baltara
1997-12,26.4,Safe,Baltara
1998-01,28.0,Safe,Baltara
1998-02,30.8,Safe,Baltara
1998-03,116.0,Safe,Baltara
1998-04,84.4,Safe,Baltara
1998-05,61.2,Safe,Baltara
1998-06,150.0,Safe,Baltara
1998-07,900.8,DANGER,Baltara
1998-08,579.2,DANGER,Baltara
1998-09,753.0,DANGER,Baltara
1998-10,361.2000000000001,DANGER,Baltara
1998-11,64.0,Safe,Baltara
1998-12,0.0,Safe,Baltara
1999-01,0.0,Safe,Baltara
1999-02,0.0,Safe,Baltara
1999-03,0.0,Safe,Baltara
1999-04,54.0,Safe,Baltara
1999-05,305.0,DANGER,Baltara
1999-06,581.6,DANGER,Baltara
1999-07,713.8,DANGER,Baltara
1999-08,833.6,DANGER,Baltara
1999-09,902.4,DANGER,Baltara
1999-10,258.4,WARNING,Baltara
1999-11,0.0,Safe,Baltara
1999-12,0.0,Safe,Baltara
2000-01,0.0,Safe,Baltara
2000-02,61.2,Safe,Baltara
2000-03,28.0,Safe,Baltara
2000-04,114.8,Safe,Baltara
2000-05,136.4,Safe,Baltara
2000-06,570.0,DANGER,Baltara
2000-07,292.2,WARNING,Baltara
2000-08,237.2,WARNING,Baltara
2000-09,1218.0,DANGER,Baltara
2000-10,119.2,Safe,Baltara
2000-11,0.0,Safe,Baltara
2000-12,0.0,Safe,Baltara
2001-01,4.2,Safe,Baltara
2001-02,0.0,Safe,Baltara
2001-03,6.4,Safe,Baltara
2001-04,76.8,Safe,Baltara
2001-05,391.6,DANGER,Baltara
2001-06,465.8,DANGER,Baltara
2001-07,139.0,Safe,Baltara
