District,Rainfall (mm),River,River Level,Flood Risk,Flood Occurred,Area affected in (m.ha),Population affected in (million),Damage to Crops,Damage to Houses,Year,Month_sin,Month_cos
0,0.2078940918054264,3,1.146942090604572,1.0,0,0.8258760321783383,0.6804051668715702,1.5296978179102532,2.788256101063085,1981,1.2246467991473532e-16,-1.0
0,0.0,3,0.8970910942929393,1.0,0,-1.026509316398528,-0.8676925425695192,-0.9051079908430807,0.5018880783767028,1989,1.2246467991473532e-16,-1.0
0,0.3441844689967993,3,0.4838254495387144,1.0,0,-1.026509316398528,-0.8676925425695192,-0.9051079908430807,0.5018880783767028,1989,-0.4999999999999997,-0.8660254037844388
0,1.0382270338514203,3,1.2619573843448393,1.0,0,-1.026509316398528,-0.8676925425695192,-0.9051079908430807,0.5018880783767028,1989,-0.8660254037844385,-0.5000000000000004
0,0.0,3,1.7547847194313853,0.0,1,-1.026509316398528,-0.8676925425695192,-0.9051079908430807,0.5018880783767028,1989,-1.0,-1.8369701987210287e-16
0,0.0,3,1.6634335744154454,1.0,0,-1.026509316398528,-0.8676925425695192,-0.9051079908430807,0.5018880783767028,1989,-0.8660254037844386,0.5000000000000001
0,1.09593936943633,3,1.658906569137808,2.0,0,-1.026509316398528,-0.8676925425695192,-0.9051079908430807,0.5018880783767028,1990,1.2246467991473532e-16,-1.0
0,0.4810242269670394,3,0.0,0.0,1,-1.026509316398528,-0.8676925425695192,-0.9051079908430807,0.5018880783767028,1990,-0.4999999999999997,-0.8660254037844388
0,0.0,3,1.0592022400498933,1.0,0,-1.026509316398528,-0.8676925425695192,-0.9051079908430807,0.5018880783767028,1990,-0.8660254037844385,-0.5000000000000004
0,0.2576308688364981,3,1.1578629723247251,1.0,0,-1.026509316398528,-0.8676925425695192,-0.9051079908430807,0.5018880783767028,1990,-1.0,-1.8369701987210287e-16
0,0.0,3,0.6486867569927217,1.0,0,-1.026509316398528,-0.8676925425695192,-0.9051079908430807,0.5018880783767028,1990,-0.8660254037844386,0.5000000000000001
